n,radius,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,200,"[33.64025067958688, -117.83443429448087]","[33.639228879765284, -117.8338403559481]",126.01876175927215,"[[33.63975, -117.83154], [33.63931, -117.83601], [33.63971, -117.8316], [33.64085, -117.83535], [33.64087, -117.83538], [33.63933, -117.83616], [33.6398, -117.83174], [33.63978, -117.83168], [33.63977, -117.83151], [33.64078, -117.83521], [33.63966, -117.83137], [33.63976, -117.83164], [33.63976, -117.83151], [33.64079, -117.83527], [33.63943, -117.83109], [33.63976, -117.83173], [33.63958, -117.8311], [33.63971, -117.83147], [33.6398, -117.83163], [33.64078, -117.83528], [33.63959, -117.83112], [33.64074, -117.83516], [33.63945, -117.83127], [33.63978, -117.83164], [33.63968, -117.83139], [33.64084, -117.83518], [33.63976, -117.83157], [33.6408, -117.8353], [33.63971, -117.83134], [33.64078, -117.83527], [33.64096, -117.83545], [33.64079, -117.83536], [33.64087, -117.83532], [33.64077, -117.83524], [33.63979, -117.83162], [33.63976, -117.8316], [33.63979, -117.83167], [33.63974, -117.83154], [33.641, -117.83449], [33.6285, -117.8061], [33.64086, -117.83532], [33.63783, -117.83234], [33.63974, -117.83149], [33.64072, -117.83521], [33.63936, -117.83114], [33.63978, -117.83165], [33.63977, -117.83151], [33.6397, -117.83153], [33.63979, -117.83159], [33.6408, -117.83528], [33.63976, -117.8316], [33.64086, -117.83513], [33.63977, -117.83164], [33.64078, -117.83528], [33.6394, -117.83116], [33.6398, -117.83167], [33.63976, -117.83164], [33.64072, -117.83516], [33.63976, -117.83167], [33.63949, -117.83139], [33.63982, -117.83175], [33.64075, -117.83524], [33.63971, -117.83146], [33.64086, -117.83531], [33.64072, -117.83515], [33.64078, -117.83529], [33.63954, -117.83162], [33.63974, -117.83165], [33.63971, -117.83141], [33.64083, -117.83522], [33.64073, -117.83522], [33.64079, -117.83535], [33.63935, -117.83113], [33.63977, -117.83167], [33.63976, -117.83159], [33.6408, -117.83525], [33.6398, -117.83158], [33.64075, -117.83521], [33.64085, -117.83522], [33.64083, -117.83526], [33.63979, -117.83165], [33.63971, -117.83149], [33.62832, -117.80591], [33.64082, -117.83534], [33.63974, -117.83159], [33.64077, -117.83532], [33.63978, -117.83155], [33.63972, -117.83148], [33.63935, -117.83123], [33.6397, -117.83144], [33.63953, -117.83151], [33.63962, -117.83128], [33.63969, -117.83134], [33.64079, -117.83525], [33.63933, -117.83098], [33.63974, -117.83152], [33.6394, -117.83118], [33.63978, -117.83171]]","[[33.64507733188416, -117.83023963725263], [33.65162995232444, -117.82635228649308], [33.653253627437095, -117.82538893615283]]","[9, 7, 7]","[729.6416862880632, 1540.9312667596298, 1741.9695679031722]",0.09476947784423828,25.737706184387207
1,200,"[33.64025067958688, -117.83443429448087]","[33.641048967345526, -117.83363466518266]",115.51180508625144,"[[33.63979, -117.83162], [33.63976, -117.8316], [33.63964, -117.83209], [33.63974, -117.83155], [33.63977, -117.83151], [33.64105, -117.83586], [33.6394, -117.83116], [33.6398, -117.83167], [33.63978, -117.83159], [33.64104, -117.83589], [33.63971, -117.83146], [33.64112, -117.83589], [33.63945, -117.83127], [33.63978, -117.83164], [33.63988, -117.83195], [33.64113, -117.83598], [33.67733, -117.85939], [33.64106, -117.83592], [33.63967, -117.83109], [33.64115, -117.83596], [33.63976, -117.83164], [33.64109, -117.83596], [33.64113, -117.83598], [33.64105, -117.83588], [33.63958, -117.83181], [33.63978, -117.83159], [33.63935, -117.83123], [33.6397, -117.83144], [33.62832, -117.80591], [33.64103, -117.83582], [33.63954, -117.83159], [33.63846, -117.83387], [33.63975, -117.83154], [33.63931, -117.83601], [33.63974, -117.83159], [33.641, -117.8359], [33.63943, -117.83109], [33.63976, -117.83173], [33.6394, -117.83107], [33.63983, -117.83201], [33.6398, -117.83154], [33.63975, -117.83154], [33.63935, -117.83113], [33.63977, -117.83167], [33.63953, -117.83151], [33.63962, -117.83128], [33.63986, -117.8319], [33.64107, -117.83591], [33.63948, -117.8313], [33.63941, -117.83272], [33.6397, -117.83135], [33.64107, -117.83588], [33.63979, -117.83167], [33.63974, -117.83154], [33.63971, -117.8316], [33.64111, -117.83595], [33.63978, -117.83156], [33.64103, -117.83585], [33.63974, -117.83148], [33.63965, -117.832], [33.63966, -117.83137], [33.63976, -117.83164], [33.63913, -117.83324], [33.63918, -117.83326], [33.6397, -117.83151], [33.64105, -117.83588], [33.67638, -117.86301], [33.64107, -117.83595], [33.63942, -117.83129], [33.64105, -117.83589], [33.63977, -117.83164], [33.64107, -117.83589], [33.64112, -117.83585], [33.64119, -117.83594], [33.63958, -117.83169], [33.64106, -117.83585], [33.63957, -117.83152], [33.6397, -117.83151], [33.6398, -117.83166], [33.63974, -117.83158], [33.63982, -117.83158], [33.63975, -117.83159], [33.63976, -117.8316], [33.64112, -117.8358], [33.63977, -117.83151], [33.6397, -117.83153], [33.63976, -117.83156], [33.64109, -117.83596], [33.63977, -117.83184], [33.64106, -117.83588], [33.63964, -117.83208], [33.64113, -117.83583], [33.63971, -117.83134], [33.64109, -117.83594], [33.63976, -117.83159], [33.64106, -117.83588]]","[[33.65046967041257, -117.82930061472132], [33.648745758163166, -117.83006037366059], [33.652184241875915, -117.82854494013462]]","[12, 9, 9]","[1119.58835929771, 915.8289751613389, 1322.2519785775974]",0.0829458236694336,28.60131025314331
2,200,"[33.64025067958688, -117.83443429448087]","[33.64086188610301, -117.83490881750538]",80.83196472437606,"[[33.63968, -117.83139], [33.64248, -117.83638], [33.6394, -117.83116], [33.6398, -117.83167], [33.63975, -117.83154], [33.63931, -117.83601], [33.63959, -117.83112], [33.64121, -117.83723], [33.63913, -117.83324], [33.63918, -117.83326], [33.63976, -117.83157], [33.64122, -117.83704], [33.63967, -117.83109], [33.64124, -117.8373], [33.63964, -117.83209], [33.63974, -117.83155], [33.6395, -117.83292], [33.64123, -117.83733], [33.63952, -117.8329], [33.64115, -117.83726], [33.63935, -117.83113], [33.63977, -117.83167], [33.63979, -117.83159], [33.64121, -117.83727], [33.63979, -117.83165], [33.63971, -117.83149], [33.6394, -117.83118], [33.63978, -117.83171], [33.64256, -117.83614], [33.6412, -117.8371], [33.63977, -117.83164], [33.6412, -117.83733], [33.63957, -117.83305], [33.63948, -117.83289], [33.64264, -117.83622], [33.64244, -117.83633], [33.6397, -117.83135], [33.64123, -117.83732], [33.63894, -117.83459], [33.56461, -117.8299], [33.63973, -117.83317], [33.6412, -117.83722], [33.63969, -117.83134], [33.64123, -117.83731], [33.6398, -117.83174], [33.63978, -117.83168], [33.63953, -117.83151], [33.63962, -117.83128], [33.6398, -117.83154], [33.63975, -117.83154], [33.63955, -117.83291], [33.63946, -117.83306], [33.63954, -117.83313], [33.6412, -117.83734], [33.63978, -117.83156], [33.64121, -117.83723], [33.63967, -117.83327], [33.63904, -117.83342], [33.63978, -117.83159], [33.64121, -117.83727], [33.63977, -117.83184], [33.6412, -117.83735], [33.63966, -117.8332], [33.64118, -117.83728], [33.64258, -117.83625], [33.6285, -117.8061], [33.63974, -117.83148], [33.63965, -117.832], [33.6398, -117.83158], [33.6412, -117.83703], [33.63982, -117.83158], [33.63975, -117.83159], [33.67638, -117.86301], [33.64127, -117.83705], [33.63978, -117.83155], [33.63972, -117.83148], [33.63976, -117.83151], [33.64121, -117.83734], [33.63988, -117.83195], [33.64125, -117.83731], [33.63953, -117.83308], [33.6412, -117.83729], [33.63954, -117.83296], [33.63965, -117.83315], [33.64244, -117.83603], [33.64249, -117.83646], [33.63951, -117.83293], [33.63948, -117.83307], [33.63954, -117.83308], [33.63955, -117.83314], [33.62832, -117.80591], [33.64253, -117.83636], [33.63945, -117.83127], [33.63978, -117.83164], [33.63933, -117.83098], [33.63974, -117.83152], [33.64267, -117.83627], [33.63933, -117.83616], [33.6394, -117.83107], [33.63983, -117.83201], [33.63954, -117.83313], [33.64118, -117.83723], [33.63952, -117.8331], [33.63879, -117.83407], [33.63956, -117.83307], [33.63946, -117.83288], [33.64251, -117.83645], [33.64252, -117.83645]]","[[33.64716084171202, -117.84813504789724], [33.64542110356882, -117.84434528981102], [33.64631327945024, -117.84622906527785]]","[27, 27, 27]","[1411.9449710551899, 1010.9767022946296, 1211.7947578088667]",0.06274628639221191,45.19923448562622
3,200,"[33.64025067958688, -117.83443429448087]","[33.64006652399667, -117.83548475460395]",99.57138625538165,"[[33.63964, -117.83208], [33.64242, -117.83633], [33.6397, -117.83151], [33.64121, -117.83724], [33.63977, -117.83332], [33.63947, -117.8329], [33.63957, -117.83308], [33.64121, -117.83724], [33.63942, -117.83129], [33.64111, -117.83725], [33.63951, -117.83299], [33.64126, -117.83728], [33.6394, -117.83118], [33.63978, -117.83171], [33.63969, -117.83134], [33.64123, -117.83731], [33.64258, -117.83625], [33.6285, -117.8061], [33.64264, -117.83622], [33.64244, -117.83633], [33.63966, -117.8332], [33.64118, -117.83728], [33.63976, -117.8316], [33.64253, -117.83643], [33.63936, -117.83114], [33.63978, -117.83165], [33.63971, -117.8316], [33.6412, -117.8373], [33.63971, -117.83134], [33.64122, -117.83721], [33.63945, -117.83127], [33.63978, -117.83164], [33.63958, -117.83169], [33.64119, -117.83732], [33.63979, -117.83165], [33.63971, -117.83149], [33.64244, -117.83603], [33.64249, -117.83646], [33.64267, -117.83627], [33.63827, -117.83591], [33.63957, -117.83152], [33.6397, -117.83151], [33.63954, -117.83307], [33.64124, -117.83725], [33.63978, -117.83155], [33.63972, -117.83148], [33.6398, -117.83158], [33.64119, -117.83732], [33.63974, -117.83148], [33.63965, -117.832], [33.62832, -117.80591], [33.64253, -117.83636], [33.63954, -117.83296], [33.63965, -117.83315], [33.64238, -117.83634], [33.64247, -117.83641], [33.6396, -117.83305], [33.63965, -117.8333], [33.63962, -117.83307], [33.63951, -117.83309], [33.63977, -117.83151], [33.6397, -117.83153], [33.63943, -117.83109], [33.63976, -117.83173], [33.6398, -117.83154], [33.63975, -117.83154], [33.63957, -117.83314], [33.64121, -117.83733], [33.63975, -117.83154], [33.63958, -117.8377], [33.63976, -117.83159], [33.6412, -117.8373], [33.63958, -117.83308], [33.64118, -117.8373], [33.6398, -117.83174], [33.63978, -117.83168], [33.63979, -117.83167], [33.63974, -117.83154]]","[[33.64973537482889, -117.8264736674905], [33.651226312999626, -117.8251749705917], [33.652708644296226, -117.82388371430847]]","[9, 8, 8]","[1359.7405531054865, 1564.242700966276, 1767.5878358530354]",0.04106473922729492,22.658515453338623
4,200,"[33.64025067958688, -117.83443429448087]","[33.640846317500824, -117.83507909117402]",89.12356115235193,"[[33.63945, -117.83287], [33.6412, -117.83729], [33.63952, -117.8329], [33.64115, -117.83726], [33.64258, -117.83625], [33.6285, -117.8061], [33.63936, -117.83114], [33.63978, -117.83165], [33.63967, -117.83109], [33.64124, -117.8373], [33.63958, -117.83308], [33.64118, -117.8373], [33.6398, -117.83158], [33.64119, -117.83732], [33.63976, -117.83164], [33.6412, -117.83725], [33.63976, -117.83156], [33.64121, -117.83724], [33.63976, -117.83159], [33.6412, -117.8373], [33.63979, -117.83165], [33.63971, -117.83149], [33.63979, -117.83159], [33.64121, -117.83727], [33.63956, -117.83307], [33.63946, -117.83288], [33.63954, -117.83296], [33.63965, -117.83315], [33.63945, -117.83127], [33.63978, -117.83164], [33.63977, -117.83151], [33.6397, -117.83153], [33.63954, -117.83159], [33.63846, -117.83387], [33.63957, -117.83308], [33.64121, -117.83724], [33.6398, -117.83166], [33.63974, -117.83158], [33.62832, -117.80591], [33.64253, -117.83636], [33.63954, -117.83307], [33.64124, -117.83725], [33.64264, -117.83622], [33.64244, -117.83633], [33.63974, -117.83148], [33.63965, -117.832], [33.64265, -117.83624], [33.6411, -117.83725], [33.63954, -117.83308], [33.63955, -117.83314], [33.63978, -117.83159], [33.64121, -117.83727], [33.63976, -117.83151], [33.64121, -117.83734], [33.63986, -117.8319], [33.64123, -117.83735], [33.63973, -117.83317], [33.6412, -117.83722], [33.67638, -117.86301], [33.64124, -117.83724], [33.63943, -117.83109], [33.63976, -117.83173], [33.63966, -117.8332], [33.64118, -117.83728], [33.63982, -117.83158], [33.63975, -117.83159], [33.6425, -117.83606], [33.64249, -117.83646], [33.63955, -117.83296], [33.64121, -117.83731], [33.63953, -117.83297], [33.63971, -117.83324], [33.64267, -117.83627], [33.63827, -117.83591], [33.63979, -117.83162], [33.63976, -117.8316], [33.6398, -117.83163], [33.64121, -117.83731], [33.63971, -117.8316], [33.6412, -117.8373]]","[[33.649757821557984, -117.82646674162301], [33.635070313727844, -117.85050715628878], [33.63780195567987, -117.84235300826788]]","[8, 5, 5]","[1270.943984799674, 1568.1702718482222, 754.59259774076]",0.024104833602905273,23.56258535385132
5,200,"[33.64025067958688, -117.83443429448087]","[33.64132888049745, -117.83436603409879]",119.75718934457448,"[[33.63979, -117.83162], [33.63976, -117.8316], [33.63951, -117.83299], [33.64126, -117.83728], [33.63952, -117.8329], [33.64115, -117.83726], [33.6398, -117.83174], [33.63978, -117.83168], [33.63976, -117.83164], [33.6412, -117.83725], [33.63977, -117.83184], [33.6412, -117.83735], [33.6397, -117.83151], [33.64121, -117.83724], [33.6398, -117.83166], [33.63974, -117.83158], [33.63974, -117.83159], [33.6413, -117.83654], [33.63967, -117.83109], [33.64124, -117.8373], [33.63967, -117.83327], [33.63904, -117.83342], [33.64263, -117.83623], [33.63783, -117.83234], [33.63976, -117.8333], [33.63948, -117.83289], [33.63958, -117.83308], [33.64118, -117.8373], [33.63977, -117.83164], [33.6412, -117.83733], [33.63956, -117.83302], [33.6395, -117.83287], [33.63978, -117.83159], [33.64121, -117.83727], [33.63958, -117.83169], [33.64119, -117.83732], [33.63971, -117.83146], [33.64132, -117.83657], [33.6425, -117.83606], [33.64249, -117.83646], [33.63974, -117.83148], [33.63965, -117.832], [33.63954, -117.83299], [33.64244, -117.83631], [33.63979, -117.83159], [33.64121, -117.83727], [33.63954, -117.83162], [33.63974, -117.83165], [33.63953, -117.83308], [33.6412, -117.83729], [33.63945, -117.83287], [33.6412, -117.83729], [33.63973, -117.83317], [33.6412, -117.83722], [33.63945, -117.83127], [33.63978, -117.83164], [33.63982, -117.83158], [33.63975, -117.83159], [33.63977, -117.83151], [33.64123, -117.8373], [33.63975, -117.83154], [33.63958, -117.8377], [33.6396, -117.83305], [33.63965, -117.8333], [33.63962, -117.83319], [33.6395, -117.83293], [33.63982, -117.83175], [33.64121, -117.83667], [33.63976, -117.83157], [33.64122, -117.83704], [33.63966, -117.8332], [33.64118, -117.83728], [33.63976, -117.83159], [33.6412, -117.8373], [33.63957, -117.83314], [33.64121, -117.83733], [33.6395, -117.83292], [33.64123, -117.83733], [33.63986, -117.8319], [33.64123, -117.83735], [33.63958, -117.83303], [33.63947, -117.8329], [33.63935, -117.83113], [33.63977, -117.83167], [33.63955, -117.83284], [33.64127, -117.83656], [33.63959, -117.83112], [33.64121, -117.83723], [33.63952, -117.8331], [33.63879, -117.83407], [33.63979, -117.83167], [33.63974, -117.83154], [33.63976, -117.8316], [33.64253, -117.83643], [33.63954, -117.83313], [33.6412, -117.83734], [33.6397, -117.83135], [33.64123, -117.83732], [33.63976, -117.83156], [33.64121, -117.83724], [33.64264, -117.83622], [33.64244, -117.83633], [33.63954, -117.83309], [33.64254, -117.83645], [33.62832, -117.80591], [33.64253, -117.83636], [33.63979, -117.83165], [33.63971, -117.83149], [33.63935, -117.83123], [33.6397, -117.83144]]","[[33.642681410014916, -117.83859923577738], [33.641366838248565, -117.84380444188061], [33.641031523584076, -117.84164696367323]]","[10, 6, 5]","[420.3941941500396, 875.6229028797533, 676.2669022774835]",0.028739213943481445,47.68152117729187
6,200,"[33.64025067958688, -117.83443429448087]","[33.64101856292283, -117.83429749898154]",86.11078306193083,"[[33.63945, -117.83127], [33.63978, -117.83164], [33.63976, -117.83159], [33.6412, -117.8373], [33.63955, -117.83284], [33.64127, -117.83656], [33.63966, -117.83137], [33.63976, -117.83164], [33.63949, -117.83293], [33.63904, -117.83342], [33.63952, -117.83293], [33.63948, -117.83289], [33.63964, -117.83209], [33.63974, -117.83155], [33.63979, -117.83159], [33.64121, -117.83727], [33.63948, -117.8313], [33.63941, -117.83272], [33.63958, -117.83169], [33.64119, -117.83732], [33.6395, -117.83292], [33.64123, -117.83733], [33.63954, -117.83299], [33.64244, -117.83631], [33.63945, -117.83287], [33.6412, -117.83729], [33.63968, -117.83139], [33.64248, -117.83638], [33.63977, -117.83151], [33.6397, -117.83153], [33.64251, -117.83645], [33.64252, -117.83645], [33.63979, -117.83167], [33.63974, -117.83154], [33.64267, -117.83627], [33.63827, -117.83591], [33.63964, -117.83208], [33.64242, -117.83633], [33.6398, -117.83163], [33.64121, -117.83731], [33.6398, -117.83166], [33.63974, -117.83158], [33.63953, -117.83151], [33.63962, -117.83128], [33.6394, -117.83116], [33.6398, -117.83167], [33.63954, -117.83296], [33.63951, -117.83302], [33.63971, -117.83146], [33.64132, -117.83657], [33.63978, -117.83159], [33.64121, -117.83727], [33.63978, -117.83155], [33.63972, -117.83148], [33.63952, -117.83297], [33.6395, -117.83293], [33.6395, -117.83302], [33.63951, -117.83311], [33.63967, -117.83109], [33.64124, -117.8373], [33.6398, -117.83174], [33.63978, -117.83168], [33.63975, -117.83154], [33.63958, -117.8377], [33.63943, -117.83109], [33.63976, -117.83173], [33.63951, -117.83287], [33.63948, -117.83289], [33.63949, -117.83291], [33.64121, -117.83724], [33.63951, -117.83295], [33.63946, -117.83288], [33.64263, -117.83623], [33.63783, -117.83234], [33.63978, -117.83156], [33.64121, -117.83723], [33.63953, -117.83295], [33.63949, -117.83292], [33.63936, -117.83114], [33.63978, -117.83165], [33.63946, -117.83291], [33.63879, -117.83407]]","[[33.64511426504498, -117.83048472329321], [33.64669453194734, -117.82910606208371], [33.64665713438061, -117.82895037713928]]","[20, 19, 5]","[575.7422461549385, 792.6416672819217, 798.2450572635511]",0.06680941581726074,27.388671398162842
7,200,"[33.64025067958688, -117.83443429448087]","[33.641309810334235, -117.83525481932467]",139.98123637756723,"[[33.63954, -117.83313], [33.64134, -117.83752], [33.64317, -117.83586], [33.63783, -117.83234], [33.63978, -117.83155], [33.63972, -117.83148], [33.64304, -117.83587], [33.6424, -117.83713], [33.63935, -117.83113], [33.63977, -117.83167], [33.6395, -117.83302], [33.63951, -117.83311], [33.63953, -117.83297], [33.63971, -117.83324], [33.63958, -117.83303], [33.63947, -117.8329], [33.63962, -117.83307], [33.63951, -117.83309], [33.63974, -117.83148], [33.63965, -117.832], [33.63954, -117.83296], [33.63951, -117.83302], [33.63946, -117.83291], [33.63879, -117.83407], [33.64306, -117.83599], [33.6285, -117.8061], [33.63974, -117.83159], [33.64139, -117.83742], [33.67733, -117.85939], [33.64125, -117.83747], [33.6432, -117.83582], [33.64114, -117.83742], [33.63956, -117.83302], [33.6395, -117.83287], [33.63951, -117.83293], [33.63948, -117.83307], [33.63967, -117.83109], [33.64172, -117.83736], [33.63949, -117.83291], [33.64175, -117.83746], [33.63951, -117.83295], [33.63946, -117.83288], [33.63952, -117.83297], [33.6395, -117.83293], [33.63976, -117.83151], [33.64144, -117.83742], [33.63976, -117.83157], [33.64134, -117.83744], [33.63964, -117.83208], [33.64239, -117.83708], [33.64301, -117.83602], [33.63827, -117.83591], [33.63979, -117.83159], [33.64154, -117.83743], [33.6398, -117.83158], [33.64152, -117.83748], [33.63958, -117.8311], [33.63971, -117.83147]]","[[33.64131979894472, -117.83526894723491], [33.645660570159485, -117.8389723045777], [33.6414150771341, -117.83253866804668]]","[9, 3, 3]","[1.7161801189072825, 593.1323167239715, 252.2510349799381]",0.024999380111694336,10.4306960105896
8,200,"[33.64025067958688, -117.83443429448087]","[33.64075870738247, -117.83351966921067]",101.85753335790375,"[[33.63978, -117.83155], [33.63972, -117.83148], [33.63973, -117.83143], [33.64118, -117.83728], [33.6394, -117.83118], [33.6396, -117.83114], [33.63941, -117.83118], [33.64101, -117.83577], [33.63827, -117.83413], [33.63868, -117.83379], [33.63955, -117.83169], [33.63973, -117.83152], [33.63971, -117.83134], [33.64122, -117.83721], [33.6398, -117.83166], [33.63974, -117.83158], [33.63976, -117.83156], [33.64175, -117.83746], [33.63972, -117.83147], [33.64118, -117.8373], [33.63978, -117.83156], [33.64121, -117.83723], [33.63963, -117.83123], [33.64124, -117.83725], [33.63973, -117.83151], [33.64115, -117.83726], [33.63974, -117.83148], [33.63948, -117.83139], [33.63933, -117.83098], [33.63974, -117.83152], [33.6398, -117.83154], [33.63975, -117.83154], [33.63968, -117.83139], [33.64248, -117.83638], [33.63935, -117.83123], [33.6397, -117.83144], [33.63977, -117.83164], [33.6412, -117.83733], [33.63976, -117.83159], [33.6412, -117.8373], [33.62832, -117.80591], [33.64253, -117.83636], [33.63979, -117.83167], [33.63974, -117.83154], [33.63959, -117.83175], [33.63974, -117.83156], [33.6396, -117.83124], [33.6412, -117.83729], [33.63979, -117.83162], [33.63976, -117.8316], [33.63969, -117.83141], [33.64126, -117.83728], [33.63982, -117.83158], [33.63975, -117.83159], [33.63952, -117.83153], [33.63976, -117.83164], [33.64301, -117.83602], [33.63827, -117.83591], [33.6394, -117.83107], [33.63973, -117.83157], [33.63977, -117.83151], [33.6397, -117.83153], [33.63969, -117.83134], [33.64123, -117.83731], [33.63976, -117.83158], [33.6412, -117.83722], [33.64238, -117.83634], [33.64247, -117.83641], [33.63933, -117.83103], [33.63879, -117.83407], [33.6398, -117.83163], [33.64121, -117.83731], [33.6432, -117.83582], [33.64114, -117.83742], [33.63936, -117.83114], [33.63978, -117.83165], [33.63953, -117.83159], [33.64239, -117.83708], [33.6398, -117.83166], [33.63958, -117.83112], [33.6397, -117.83151], [33.64121, -117.83724], [33.63943, -117.83109], [33.63959, -117.83119], [33.63974, -117.83149], [33.64098, -117.83581], [33.64304, -117.83587], [33.6424, -117.83713]]","[[33.65046446151595, -117.82347829540262], [33.651817601073894, -117.82198812763477], [33.649114997663325, -117.82498863602014]]","[6, 6, 5]","[1423.5883686444547, 1627.5440478601354, 1218.75366626771]",0.03637552261352539,28.69010305404663
9,200,"[33.64025067958688, -117.83443429448087]","[33.63974672488743, -117.83308963995938]",136.6978251265023,"[[33.6394, -117.83056], [33.63937, -117.83056], [33.63924, -117.83088], [33.63939, -117.83064], [33.63938, -117.83056], [33.64123, -117.83731], [33.63914, -117.83054], [33.64101, -117.83577], [33.63947, -117.83077], [33.6394, -117.83065], [33.63931, -117.83096], [33.6394, -117.83065], [33.63927, -117.83094], [33.63947, -117.83084], [33.6393, -117.83033], [33.64123, -117.83735], [33.6432, -117.83582], [33.64114, -117.83742], [33.63926, -117.83084], [33.63947, -117.8308], [33.63947, -117.83087], [33.64121, -117.83724], [33.63939, -117.83061], [33.64132, -117.83657], [33.63944, -117.83071], [33.6412, -117.83733], [33.63914, -117.83056], [33.63942, -117.83067], [33.63934, -117.83059], [33.64126, -117.83728], [33.63911, -117.83056], [33.64119, -117.83732], [33.64317, -117.83586], [33.63783, -117.83234], [33.63951, -117.83089], [33.63913, -117.83052], [33.63924, -117.83074], [33.6389, -117.82961], [33.63926, -117.83043], [33.64134, -117.83752], [33.64301, -117.83602], [33.63827, -117.83591], [33.6391, -117.83055], [33.63939, -117.83063], [33.63938, -117.83055], [33.63922, -117.83071], [33.63934, -117.83058], [33.6412, -117.83729], [33.63933, -117.8305], [33.6395, -117.83089], [33.6393, -117.83033], [33.64123, -117.83732], [33.63915, -117.83065], [33.63945, -117.83074], [33.63927, -117.83029], [33.64248, -117.83638], [33.63914, -117.83053], [33.63797, -117.83437], [33.64306, -117.83599], [33.6285, -117.8061], [33.63926, -117.83079], [33.63953, -117.83091], [33.63925, -117.83074], [33.64254, -117.83645], [33.63783, -117.83455], [33.63806, -117.83433], [33.63916, -117.83054], [33.6394, -117.83068], [33.63942, -117.83058], [33.64152, -117.83748], [33.63941, -117.83061], [33.63939, -117.83066], [33.63929, -117.83037], [33.64121, -117.83731], [33.63944, -117.83063], [33.64125, -117.83731], [33.63929, -117.83036], [33.64253, -117.83643], [33.63948, -117.83077], [33.64121, -117.83724], [33.63941, -117.83058], [33.6412, -117.83729], [33.63956, -117.83091], [33.6394, -117.83064], [33.63924, -117.8308], [33.63809, -117.83436], [33.63945, -117.83074], [33.64115, -117.83726], [33.63917, -117.83051], [33.63939, -117.83064], [33.6393, -117.83094], [33.63935, -117.83052], [33.63929, -117.83037], [33.64123, -117.8373], [33.63927, -117.83036], [33.64121, -117.83723], [33.63937, -117.83052], [33.63939, -117.83066]]","[[33.65197792332825, -117.82213300695756], [33.65059980992368, -117.82359378693857], [33.64921165540527, -117.82506514446001]]","[8, 7, 5]","[1695.1531751101784, 1491.6696154133454, 1286.9575325623475]",0.04144120216369629,32.662450075149536
