Join Date,Name,Completed
"Jul 28, 2020, 12:13:40 AM",Arc’teryx Familiar Ground,true
"Jul 28, 2020, 12:16:08 AM",Le Col Flat Out For 5,true
"Jul 28, 2020, 12:16:25 AM",Trek Century Challenge,true
"Jul 28, 2020, 12:16:49 AM",PowerDot Grand Tour,true
"Jul 28, 2020, 12:17:29 AM",July Gran Fondo,false
"Jul 28, 2020, 8:17:07 PM",August Cycling Challenge,true
"Jul 31, 2020, 1:06:27 PM",August Gran Fondo,true
"Aug 25, 2020, 4:23:54 AM",ROKA Le Défi 100: The Sequel,true
"Aug 25, 2020, 10:11:10 PM",August 5K,true
"Aug 28, 2020, 5:15:16 AM",Kyoku Recover to Improve,true
"Aug 29, 2020, 8:17:49 AM",Amp Human & EF Pro Cycling Tour Challenge,true
"Sep 1, 2020, 4:40:56 AM",Therabody Better Together 180,true
"Sep 1, 2020, 6:34:44 AM",FuturumShop Grand Tour Challenge,true
"Sep 1, 2020, 6:35:42 AM",Breitling Endurance Pro Challenge,true
"Sep 1, 2020, 10:41:32 PM",Le Col Tour Challenge,true
"Sep 2, 2020, 3:47:19 AM",September Gran Fondo,true
"Sep 7, 2020, 11:28:35 PM",September Cycling Challenge,false
"Sep 8, 2020, 5:53:42 AM",Cycle 300 with Cancer Research UK,true
"Sep 8, 2020, 5:54:05 AM",Red Bull Home Champ,false
"Sep 8, 2020, 5:54:30 AM",Miles for refugees,true
"Sep 8, 2020, 5:55:10 AM",Pablove Childhood Cancer Challenge,true
"Sep 13, 2020, 3:56:43 PM",The Vega Power Your Story Challenge,true
"Sep 23, 2020, 11:03:22 PM",Isadore’s Not This Century Challenge,true
"Sep 25, 2020, 6:18:09 AM",Ride for Challenged Athletes Foundation,true
"Sep 25, 2020, 11:14:14 PM",Setembro Verde - Doando Vidas,true
"Sep 25, 2020, 11:15:09 PM",Dempsey Challenge presented by Amgen Oncology,true
"Sep 25, 2020, 11:15:20 PM",Gatorade Endurance Dial It In,true
"Sep 26, 2020, 7:16:40 AM",Le Col Giro Challenge,true
"Nov 8, 2020, 7:27:41 AM",Le Col Rise Above Winter Challenge,true
