Kudos Date,Kudos Type,Parent ID
"Jul 19, 2020, 5:20:49 AM",Activity,3783319924
"Jul 19, 2020, 5:21:25 AM",Activity,3653405256
"Jul 19, 2020, 8:06:14 PM",Activity,3787033451
"Jul 19, 2020, 8:08:52 PM",Activity,3787033278
"Jul 19, 2020, 8:08:57 PM",Activity,3787033238
"Jul 19, 2020, 8:09:00 PM",Activity,3787033235
"Jul 20, 2020, 5:28:41 AM",Activity,3788729176
"Jul 22, 2020, 12:12:57 AM",Activity,3797444632
"Jul 22, 2020, 12:13:01 AM",Activity,3797632376
"Jul 22, 2020, 12:13:30 AM",Activity,3790547151
"Jul 22, 2020, 12:13:38 AM",Activity,3782693425
"Jul 22, 2020, 5:17:28 AM",Activity,3798757852
"Jul 22, 2020, 7:00:20 PM",Activity,3619531668
"Jul 23, 2020, 3:24:12 AM",Activity,3787033195
"Jul 24, 2020, 12:21:19 AM",Activity,3806470901
"Jul 24, 2020, 12:21:45 AM",Activity,3805929519
"Jul 25, 2020, 4:06:07 PM",Activity,3809822958
"Jul 26, 2020, 4:07:02 AM",Activity,3809701391
"Jul 26, 2020, 4:07:10 AM",Activity,3809588266
"Jul 26, 2020, 4:07:12 AM",Activity,3807982050
"Jul 27, 2020, 1:11:56 AM",Activity,3816639163
"Jul 27, 2020, 1:12:02 AM",Activity,3816637835
"Jul 27, 2020, 1:15:50 AM",Activity,3817004102
"Jul 29, 2020, 12:09:08 AM",Activity,3829772593
"Jul 29, 2020, 12:09:09 AM",Activity,3830132760
"Jul 29, 2020, 12:37:05 AM",Activity,3829370211
"Jul 29, 2020, 9:28:50 PM",Activity,3832576951
"Jul 30, 2020, 12:28:38 AM",Activity,3835525719
"Jul 30, 2020, 2:47:57 AM",Activity,3836090007
"Jul 30, 2020, 1:24:50 PM",Activity,3838157986
"Jul 31, 2020, 1:19:26 AM",Activity,3841147690
"Jul 31, 2020, 2:46:32 AM",Activity,3841163383
"Jul 31, 2020, 2:46:42 AM",Activity,3841344567
"Jul 31, 2020, 1:04:10 PM",Activity,3842799783
"Aug 3, 2020, 12:16:04 AM",Activity,3853897809
"Aug 3, 2020, 12:16:24 AM",Activity,3856076422
"Aug 3, 2020, 12:16:29 AM",Activity,3850713487
"Aug 3, 2020, 3:52:42 AM",Activity,3856333986
"Aug 5, 2020, 1:55:01 AM",Activity,3865794210
"Aug 6, 2020, 3:20:32 AM",Activity,3870807318
"Aug 6, 2020, 3:20:39 AM",Activity,3868329816
"Aug 6, 2020, 3:20:44 AM",Activity,3866086181
"Aug 7, 2020, 1:10:49 PM",Activity,3870432407
"Aug 7, 2020, 1:11:07 PM",Activity,3870402722
"Aug 7, 2020, 7:31:27 PM",Activity,3878312077
"Aug 9, 2020, 12:35:42 AM",Activity,3885073385
"Aug 9, 2020, 1:40:31 AM",Activity,3885327527
