name,location_name,latitude,longitude
The Shawshank Redemption,Ashland,40.869331,-82.317917
The Shawshank Redemption,Bissman Building (Closed),40.763622,-82.515564
The Shawshank Redemption,Butler,40.589268,-82.426643
The Shawshank Redemption,Ohio State Reformatory,40.784168,-82.502548
The Shawshank Redemption,Snyder Road and Hagerman Road,40.616440,-82.429008
The Shawshank Redemption,Upper Sandusky,40.827511,-83.281372
The Shawshank Redemption,Virgin Islands (Final Scene),17.679745,-64.900841
The Shawshank Redemption,Wyandot County Courthouse,40.827187,-83.280800
The Dark Knight,550 S Hope St,34.049660,-118.255707
The Dark Knight,Cairngorms National Park,57.060017,-3.607898
The Dark Knight,Cardington Studios,52.107933,-0.423461
The Dark Knight,Carnegie Mellon University,40.442440,-79.943153
The Dark Knight,Chand Bawri,27.007240,76.606415
The Dark Knight,Delta Point (Gotham General Hospital),51.379135,-0.100420
The Dark Knight,"Downtown, Los Angeles",34.039845,-118.247932
The Dark Knight,El Camino College,33.885521,-118.326874
The Dark Knight,El Camino Village,33.888344,-118.332596
The Dark Knight,Farmiloe Building (closed),51.520699,-0.101378
The Dark Knight,Greenwood Lake,41.222240,-74.295151
The Dark Knight,Heinz Field,40.446735,-80.015785
The Dark Knight,Inverness Airport,57.541225,-4.053508
The Dark Knight,La Loggia del Piazzale Michelangelo,43.761822,11.264711
The Dark Knight,Mehrangarh Fort,26.297928,73.018799
The Dark Knight,Newark,40.731441,-74.188026
The Dark Knight,Nottingham,52.954597,-1.159561
The Dark Knight,One Liberty Plaza,40.709518,-74.010674
The Dark Knight,Osterley Park And House,51.489414,-0.345879
The Dark Knight,Pittsburgh (Gotham City),40.435158,-80.001976
The Dark Knight,Queensboro Bridge,40.756702,-73.954506
The Dark Knight,Senate House,51.521023,-0.128841
The Dark Knight,Sony Pictures Studios,34.017433,-118.401627
The Dark Knight,Stansted Airport (Gotham City Airport),51.885815,0.238678
The Dark Knight,Third Street Tunnel,34.052807,-118.251175
The Dark Knight,Trump Tower,40.762325,-73.973907
The Dark Knight,Union Station,34.056206,-118.236572
The Dark Knight,Wall St,40.705997,-74.008987
The Dark Knight,Warner Brothers Burbank Studios,34.148224,-118.339310
The Dark Knight,Wollaton Hall,52.947845,-1.209799
