name,latlong_url
The Shawshank Redemption,https://www.latlong.net/location/the-shawshank-redemption-locations-33
The Dark Knight,https://www.latlong.net/location/the-dark-knight-rises-locations-199
The Godfather Part II,https://www.latlong.net/location/the-godfather-part-ii-locations-323
12 Angry Men,https://www.latlong.net/location/12-angry-men-locations-818
Schindler's List,https://www.latlong.net/location/schindler-s-list-locations-131
Pulp Fiction,https://www.latlong.net/location/pulp-fiction-locations-35
The Lord of the Rings: The Fellowship of the Ring,https://www.latlong.net/location/the-lord-of-the-rings-the-fellowship-of-the-ring-locations-38
"The Good, the Bad and the Ugly",https://www.latlong.net/location/the-good-the-bad-and-the-ugly-locations-321
Goodfellas,https://www.latlong.net/location/goodfellas-locations-183
The Departed,https://www.latlong.net/location/the-departed-locations-285
